Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
The Knight Before Christmas,Romantic comedy,11/21/2019,92,5.5,English,Thursday
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,7/6/2018,83,5.5,English,Friday
The Package,Black comedy,8/10/2018,94,5.5,English,Friday
Unicorn Store,Comedy,4/5/2019,92,5.5,English,Friday
Wine Country,Comedy,5/10/2019,103,5.5,English,Friday
Bomb Scared,Black comedy,10/12/2017,89,5.6,Spanish/Basque,Thursday
Brahman Naman,Comedy,7/7/2016,95,5.6,English,Thursday
Double Dad,Comedy-drama,1/15/2021,103,5.6,Portuguese,Friday
Falling Inn Love,Romantic comedy,8/29/2019,97,5.6,English,Thursday
Hold the Dark,Thriller,9/28/2018,125,5.6,English,Friday
"Love, Guaranteed",Romantic comedy,9/3/2020,91,5.6,English,Thursday
One-Way to Tomorrow,Romance,6/19/2020,90,5.6,Turkish,Friday
Sarah Cooper: Everything's Fine,Variety show,10/27/2020,49,5.6,English,Tuesday
The Last Laugh,Comedy-drama,1/11/2019,98,5.6,English,Friday
The Last Paradiso,Romantic drama,2/5/2021,107,5.6,Italian,Friday
The Midnight Sky,Science fiction,12/23/2020,118,5.6,English,Wednesday
The Paramedic,Thriller,9/16/2020,94,5.6,Spanish,Wednesday
The Sleepover,Comedy,8/21/2020,103,5.6,English,Friday
Vampires vs. the Bronx,Horror comedy,10/2/2020,86,5.6,English,Friday
Why Did You Kill Me?,Documentary,4/14/2021,83,5.6,English,Wednesday
A Week Away,Christian musical,3/26/2021,97,5.7,English,Friday
Caught by a Wave,Romantic teen drama,3/25/2021,99,5.7,Italian,Thursday
Christmas Inheritance,Romantic drama,12/15/2017,104,5.7,English,Friday
Dad Wanted,Family,9/11/2020,102,5.7,Spanish,Friday
El Camino Christmas,Dark comedy,12/8/2017,89,5.7,English,Friday
Eli,Horror,10/18/2019,98,5.7,English,Friday
Ginny Weds Sunny,Romantic comedy,10/9/2020,125,5.7,Hindi,Friday
Good Sam,Drama,5/16/2019,89,5.7,English,Thursday
Lionheart,Comedy,1/4/2019,94,5.7,English,Friday
Little Evil,Comedy horror,9/1/2017,94,5.7,English,Friday
One Take,Documentary,6/18/2020,85,5.7,Thai,Thursday
"Out of Many, One",Documentary,12/12/2018,34,5.7,English,Wednesday
Point Blank,Action,7/12/2019,86,5.7,English,Friday
Prime Time,Thriller,4/14/2021,91,5.7,Polish,Wednesday
